"source"	"target"	"predicate"	"label"	"supported"	"raw"
"start"	"Benefits74"	"TRUE"	""	TRUE	""
"Benefits74"	"Retirement89"	"TRUE"	""	TRUE	""
"Retirement89"	"ISAs131"	"TRUE"	""	TRUE	""
"ISAs131"	"Insurances142"	"TRUE"	""	TRUE	""
"Insurances142"	"Cryptocurrency147"	"TRUE"	""	TRUE	""
"Cryptocurrency147"	"Loans172"	"TRUE"	""	TRUE	""
"Loans172"	"Bankruptcy180"	"TRUE"	""	TRUE	""
"Bankruptcy180"	"Inheritance197"	"TRUE"	""	TRUE	""
"Inheritance197"	"Trusts209"	"TRUE"	""	TRUE	""
"Trusts209"	"Health215"	"TRUE"	""	TRUE	""
"Health215"	"Ten1"	"TRUE"	""	TRUE	""
"Ten1"	"StartDat"	"TRUE"	""	TRUE	""
"StartDat"	"DateChk"	"TRUE"	""	TRUE	""
"DateChk"	"IntrType"	"TRUE"	""	TRUE	""
"IntrType"	"CurStat"	"TRUE"	""	TRUE	""
"CurStat"	"MovedWth"	"FALSE"	"CurStat = 3,4,5 - respondent moved"	FALSE	"If CurStat = 3,4,5 - respondent moved"
"CurStat"	"CountRes"	"CurStat == 8"	"CurStat = 8 - respondent now resident abroad"	TRUE	"If CurStat = 8 - respondent now resident abroad"
"CurStat"	"KnowDet"	"FALSE"	"CurStat = 3,4 - a member of the household has moved within GB and details are known"	FALSE	"If CurStat = 3,4 - a member of the household has moved within GB and details are known"
"CurStat"	"Add1"	"FALSE"	"KnowDet = 1- address of mover known"	FALSE	"If KnowDet = 1- address of mover known"
"CurStat"	"Add2"	"FALSE"	"KnowDet = 1- address of mover known"	FALSE	"If KnowDet = 1- address of mover known"
"CurStat"	"Add3"	"Add2 == \"Response\""	"Add2 = Response - entered a second line of address"	TRUE	"If Add2 = Response - entered a second line of address"
"CurStat"	"Add4"	"Add3 == \"Response\""	"Add3 = Response - entered a third line of address"	TRUE	"If Add3 = Response - entered a third line of address"
"CurStat"	"Add4"	"KnowDet == 1"	"KnowDet = 1 - address of mover known"	TRUE	"If KnowDet = 1 - address of mover known"
"CurStat"	"PstTwn"	"KnowDet == 1"	"KnowDet = 1 - address of mover known"	TRUE	"If KnowDet = 1 - address of mover known"
"CurStat"	"PostCd"	"KnowDet == 1"	"KnowDet = 1 - address of mover known"	TRUE	"If KnowDet = 1 - address of mover known"
"CurStat"	"SurePstC"	"KnowDet == 1"	"KnowDet = 1 - address of mover known"	TRUE	"If KnowDet = 1 - address of mover known"
"CurStat"	"TeleNumb"	"KnowDet == 2"	"KnowDet = 2 - telephone number of mover known"	TRUE	"If KnowDet = 2 - telephone number of mover known"
"CurStat"	"EmailAdd"	"KnowDet == 3"	"KnowDet = 3 - email address of mover known"	TRUE	"If KnowDet = 3 - email address of mover known"
"CurStat"	"HldStat"	"FALSE"	"Curstat = 2, HldStat = 1"	FALSE	"If Curstat = 2, HldStat = 1"
"CurStat"	"HldStat"	"FALSE"	"Curstat = 3,4,5; HldStat = 2"	FALSE	"If Curstat = 3,4,5; HldStat = 2"
"CurStat"	"HldStat"	"FALSE"	"Curstat = 6,7,8,9; HldStat = 3"	FALSE	"If Curstat = 6,7,8,9; HldStat = 3"
"CurStat"	"SurNme"	"FALSE"	"RSurNme OR (KITE) RSurname = empty - i.e. if new cohort"	FALSE	"Ask if RSurNme OR (KITE) RSurname = empty - i.e. if new cohort"
"CurStat"	"CorrNam"	"FALSE"	"RName OR (KITE) Name are not blank OR if RName OR (KITE) Name = empty AND RBirth OR Rsex <> empty"	FALSE	"If RName OR (KITE) Name are not blank OR if RName OR (KITE) Name = empty AND RBirth OR Rsex <> empty"
"CurStat"	"UpdatNam"	"CorrNam == 2"	"CorrNam = 2 - respondent’s name is incorrect"	TRUE	"If CorrNam = 2 - respondent’s name is incorrect"
"CurStat"	"MoreNme"	"TRUE"	"otherwise"	TRUE	""
"MovedWth"	"CountRes"	"CurStat == 8"	"CurStat = 8 - respondent now resident abroad"	TRUE	"If CurStat = 8 - respondent now resident abroad"
"MovedWth"	"KnowDet"	"FALSE"	"CurStat = 3,4 - a member of the household has moved within GB and details are known"	FALSE	"If CurStat = 3,4 - a member of the household has moved within GB and details are known"
"MovedWth"	"Add1"	"FALSE"	"KnowDet = 1- address of mover known"	FALSE	"If KnowDet = 1- address of mover known"
"MovedWth"	"Add2"	"FALSE"	"KnowDet = 1- address of mover known"	FALSE	"If KnowDet = 1- address of mover known"
"MovedWth"	"Add3"	"Add2 == \"Response\""	"Add2 = Response - entered a second line of address"	TRUE	"If Add2 = Response - entered a second line of address"
"MovedWth"	"Add4"	"Add3 == \"Response\""	"Add3 = Response - entered a third line of address"	TRUE	"If Add3 = Response - entered a third line of address"
"MovedWth"	"Add4"	"KnowDet == 1"	"KnowDet = 1 - address of mover known"	TRUE	"If KnowDet = 1 - address of mover known"
