"source"	"target"	"predicate"	"label"	"supported"	"raw"
"CurStat"	"MovedWth"	"FALSE"	"CurStat = 3,4,5 - respondent moved"	FALSE	"If CurStat = 3,4,5 - respondent moved"
"CurStat"	"CountRes"	"CurStat == 8"	"CurStat = 8 - respondent now resident abroad"	TRUE	"If CurStat = 8 - respondent now resident abroad"
"CurStat"	"KnowDet"	"FALSE"	"CurStat = 3,4 - a member of the household has moved within GB and details are known"	FALSE	"If CurStat = 3,4 - a member of the household has moved within GB and details are known"
"KnowDet"	"Add1"	"FALSE"	"KnowDet = 1- address of mover known"	FALSE	"If KnowDet = 1- address of mover known"
"KnowDet"	"Add2"	"FALSE"	"KnowDet = 1- address of mover known"	FALSE	"If KnowDet = 1- address of mover known"
"Add2"	"Add3"	"Add2 == \"Response\""	"Add2 = Response - entered a second line of address"	TRUE	"If Add2 = Response - entered a second line of address"
"Add3"	"Add4"	"Add3 == \"Response\""	"Add3 = Response - entered a third line of address"	TRUE	"If Add3 = Response - entered a third line of address"
"KnowDet"	"Add4"	"KnowDet == 1"	"KnowDet = 1 - address of mover known"	TRUE	"If KnowDet = 1 - address of mover known"
"KnowDet"	"PstTwn"	"KnowDet == 1"	"KnowDet = 1 - address of mover known"	TRUE	"If KnowDet = 1 - address of mover known"
"KnowDet"	"PostCd"	"KnowDet == 1"	"KnowDet = 1 - address of mover known"	TRUE	"If KnowDet = 1 - address of mover known"
"KnowDet"	"SurePstC"	"KnowDet == 1"	"KnowDet = 1 - address of mover known"	TRUE	"If KnowDet = 1 - address of mover known"
"KnowDet"	"TeleNumb"	"KnowDet == 2"	"KnowDet = 2 - telephone number of mover known"	TRUE	"If KnowDet = 2 - telephone number of mover known"
"KnowDet"	"EmailAdd"	"KnowDet == 3"	"KnowDet = 3 - email address of mover known"	TRUE	"If KnowDet = 3 - email address of mover known"
"CurStat"	"HldStat"	"FALSE"	"Curstat = 2, HldStat = 1"	FALSE	"If Curstat = 2, HldStat = 1"
"CorrNam"	"UpdatNam"	"CorrNam == 2"	"CorrNam = 2 - respondent’s name is incorrect"	TRUE	"If CorrNam = 2 - respondent’s name is incorrect"
"DteofBth"	"June15"	"DteofBth == 15.06"	"DteofBth = 15.06"	TRUE	"If DteofBth = 15.06"
"DteofBth"	"AgeIf"	"FALSE"	"DteofBth = DK/RF (does not know OR refuse date of birth)"	FALSE	"If DteofBth = DK/RF (does not know OR refuse date of birth)"
"DVage"	"xMarSta"	"DVAge>=16"	"DVAge>=16 (respondent is aged 16 or over)"	TRUE	"If DVAge>=16 (respondent is aged 16 or over)"
"xMarSta"	"MarChk"	"FALSE"	"XMARSTA = 2,6 (respondent is married and living with husband/wife or in a legally recognised Civil Partnership)"	FALSE	"If XMARSTA = 2,6 (respondent is married and living with husband/wife or in a legally recognised Civil Partnership)"
"DVage"	"LivWth12"	"FALSE"	"DVAge >= 16 AND MarSta <> 2,6 (more than 1 person in household and respondent is aged 16 or over and not married and living with husband/wife or in a legally recognised Civil Partnership)"	FALSE	"If DVAge >= 16 AND MarSta <> 2,6 (more than 1 person in household and respondent is aged 16 or over and not married and living with husband/wife or in a legally recognised Civil Partnership)"
"DVage"	"FtEd"	"FALSE"	"DVAge>3 AND <19 - aged over 3 and under 19 years"	FALSE	"If DVAge>3 AND <19 - aged over 3 and under 19 years"
"DVage"	"FtEd19"	"DVAge == 19"	"DVAge = 19 - respondent is 19 years old"	TRUE	"If DVAge = 19 - respondent is 19 years old"
"FtEd"	"QualChk"	"FtEd == 1"	"FtEd = 1 - in full time education"	TRUE	"If FtEd = 1 - in full time education"
"HiHNum"	"JntEldA"	"HiHNum == 17"	"HiHNum = 17 - two or more joint householders have the same income"	TRUE	"If HiHNum = 17 - two or more joint householders have the same income"
"HiHNum"	"JntEldB"	"FALSE"	"HiHNum = DK/RF - joint householders do not know or refuse to say who has the greatest income"	FALSE	"If HiHNum = DK/RF - joint householders do not know or refuse to say who has the greatest income"
"HCoBa"	"HCoBb"	"HCoBa == 997"	"HCoBa = 997 (respondent was born in another country not listed above)"	TRUE	"If HCoBa = 997 (respondent was born in another country not listed above)"
"HCoBa"	"HCoBc"	"FALSE"	"HCoBa = 997 AND HCoBb <> empty"	FALSE	"If HCoBa = 997 AND HCoBb <> empty"
"HCoBb"	"HCoBc"	"FALSE"	"HCoBa = 997 AND HCoBb <> empty"	FALSE	"If HCoBa = 997 AND HCoBb <> empty"
"DVage"	"CryFth"	"DVAge>=16"	"DVAge>=16"	TRUE	"Ask if DVAge>=16"
"CryFth"	"CryFSpc"	"CryFth == 997"	"CryFth = 997 (respondent’s father was born in another country not listed above)"	TRUE	"If CryFth = 997 (respondent’s father was born in another country not listed above)"
"CryFth"	"CryFFrm"	"FALSE"	"CryFth = 997 AND CryFSpc <> empty"	FALSE	"If CryFth = 997 AND CryFSpc <> empty"
"CryFSpc"	"CryFFrm"	"FALSE"	"CryFth = 997 AND CryFSpc <> empty"	FALSE	"If CryFth = 997 AND CryFSpc <> empty"
"DVage"	"CryMth"	"DVAge>=16"	"DVAge>=16"	TRUE	"Ask if DVAge>=16"
"CryMth"	"CryMSpc"	"CryMth == 997"	"CryMth = 997 (respondent’s mother was born in another country not listed above)"	TRUE	"If CryMth = 997 (respondent’s mother was born in another country not listed above)"
"CryMth"	"CryMFrm"	"FALSE"	"CryMth = 997 AND CryMSpc <> empty"	FALSE	"If CryMth = 997 AND CryMSpc <> empty"
"CryMSpc"	"CryMFrm"	"FALSE"	"CryMth = 997 AND CryMSpc <> empty"	FALSE	"If CryMth = 997 AND CryMSpc <> empty"
"Ten1"	"RentExpAm"	"FALSE"	"Ten1 = 3,4 - respondent has shared ownership or pays rent"	FALSE	"If Ten1 = 3,4 - respondent has shared ownership or pays rent"
"Ten1"	"RentExpPR"	"FALSE"	"Ten1 = 3,4 - respondent has shared ownership or pays rent"	FALSE	"If Ten1 = 3,4 - respondent has shared ownership or pays rent"
"RentExpPR"	"RentExpSP"	"RentExpPr == 97"	"RentExpPr = 97 (rent period is other)"	TRUE	"If RentExpPr = 97 (rent period is other)"
"LLord"	"RentHol"	"FALSE"	"LLord=1 or 2 - Respondents rents from LA or HA"	FALSE	"If LLord=1 or 2 - Respondents rents from LA or HA"
"RentHol"	"RentHoWk"	"RentHol == 1"	"RentHol = 1 (respondent takes a rent holiday)"	TRUE	"If RentHol = 1 (respondent takes a rent holiday)"
"HldStat"	"HHown"	"FALSE"	"HldStat = 2 AND Ten1 = 1 (respondent lives at a new address ONLY and they own the accommodation outright)"	FALSE	"If HldStat = 2 AND Ten1 = 1 (respondent lives at a new address ONLY and they own the accommodation outright)"
