"id"	"type"	"section"	"prompt"	"source_line"	"depends_on"
"are_you_able_to_report_figures_for_the_period_01_january_2025_to_31_december_2025"	"choice"	"a"	"Are you able to report figures for the period 01 January 2025 to 31 December 2025?"	27	""
"for_the_reporting_period_what_was_your_business_s_total_turnover"	"number"	"b"	"For the reporting period, what was your business's total turnover?"	41	""
"does_your_business_produce_goods_or_services_that_protect_the_environment"	"boolean"	"b"	"Does your business produce goods or services that protect the environment?"	45	""
"of_total_turnover_approximately_what_percentage_related_to_the_production_of_environmental_goods_or_services"	"choice"	"b"	"Of Total turnover, approximately what percentage related to the production of environmental goods or services?"	52	"does_your_business_produce_goods_or_services_that_protect_the_environment"
"for_the_reporting_period_what_was_your_business_s_expenditure_on_employment_costs"	"number"	"c"	"For the reporting period, what was your business's expenditure on employment costs?"	72	""
"for_the_reporting_period_what_was_your_business_s_expenditure_on_materials_goods_services_and_energy_products"	"number"	"c"	"For the reporting period, what was your business's expenditure on materials, goods, services, and energy products?"	78	""
"for_the_reporting_period_what_was_your_business_s_expenditure_on_rates_duties_levies_and_taxes_paid_to_the_government"	"number"	"c"	"For the reporting period, what was your business's expenditure on rates, duties, levies, and taxes paid to the government?"	84	""
"for_the_reporting_period_what_was_your_business_s_total_amounts_received_in_subsidies_from_uk_government_sources_and_the_eu"	"number"	"c"	"For the reporting period, what was your business's total amounts received in subsidies from UK government sources, and the EU?"	90	""
"for_the_reporting_period_what_was_your_business_s_total_value_of_all_stocks_held"	"number"	"d"	"For the reporting period, what was your business's total value of all stocks held?"	112	""
"for_the_reporting_period_what_was_your_business_s_total_value_of_capital_assets_acquired_and_disposed_of"	"number"	"e"	"For the reporting period, what was your business's total value of capital assets acquired and disposed of?"	127	""
"for_the_reporting_period_what_was_your_business_s_income_from_services_provided_to_individuals_enterprises_or_other_organisations_based_outside_the_uk"	"number"	"f"	"For the reporting period, what was your business's income from services provided to individuals, enterprises, or other organisations based outside the UK?"	141	""
"for_the_reporting_period_what_was_your_business_s_expenditure_on_services_provided_by_individuals_enterprises_or_other_organisations_based_outside_the_uk"	"choice"	"f"	"For the reporting period, what was your business's expenditure on services provided by individuals, enterprises, or other organisations based outside the UK?"	143	""
"for_the_reporting_period_did_your_business_export_goods_to_individuals_enterprises_or_other_organisations_based_outside_the_uk"	"boolean"	"g"	"For the reporting period, did your business export goods to individuals, enterprises, or other organisations based outside the UK?"	155	""
"for_the_reporting_period_did_your_business_import_goods_from_individuals_enterprises_or_other_organisations_based_outside_the_uk"	"choice"	"g"	"For the reporting period, did your business import goods from individuals, enterprises, or other organisations based outside the UK?"	160	""
"did_your_business_carry_out_any_in_house_research_and_development_for_the_reporting_period_or_intend_to_do_so_in_the_next_reporting_period"	"boolean"	"h"	"Did your business carry out any in-house Research and Development for the reporting period, or intend to do so in the next reporting period?"	189	""
