"id"	"original_id"	"type"	"section"	"prompt"	"source_line"	"depends_on"
"Benefits74"	"Benefits74"	"unknown"	""	"Saving Attitudes and Behaviour89"	1	""
"Retirement89"	"Retirement89"	"unknown"	""	"Attitudes to saving for retirement89"	2	""
"ISAs131"	"ISAs131"	"unknown"	""	"National Savings & Investments134"	3	""
"Insurances142"	"Insurances142"	"unknown"	""	"Currency & Cash145"	4	""
"Cryptocurrency147"	"Cryptocurrency147"	"unknown"	""	"Other financial assets148"	5	""
"Loans172"	"Loans172"	"unknown"	""	"Household Bills179"	6	""
"Bankruptcy180"	"Bankruptcy180"	"unknown"	""	"Other income (exc. Earnings and Benefits)181"	7	""
"Inheritance197"	"Inheritance197"	"unknown"	""	"Inheritances received197"	8	""
"Trusts209"	"Trusts209"	"unknown"	""	"Questions for settlers (who have put their own assets into a trust)209"	9	""
"Health215"	"Health215"	"unknown"	""	"Status of parents217"	10	""
"Ten1"	"Ten1"	"choice"	""	"How do you own or rent [first line of address]?"	11	""
"StartDat"	"StartDat"	"date"	""	"ENTER DATE INTERVIEW WITH THIS HOUSEHOLD WAS STARTED"	12	""
"DateChk"	"DateChk"	"choice"	""	"IS THIS:"	13	""
"IntrType"	"IntrType"	"choice"	""	"ENTER WHETHER A TELEPHONE OR FACE TO FACE INTERVIEW"	14	""
"CurStat"	"CurStat"	"unknown"	""	"RName or (KITE)Name"	15	""
"MovedWth"	"MovedWth"	"unknown"	""	"Did this person move to the same new address/household as another person already coded?"	16	""
"CountRes"	"CountRes"	"unknown"	""	"ENTER COUNTRY WHERE NOW RESIDENT"	17	""
"KnowDet"	"KnowDet"	"choice"	""	"Which details are known of where this person has moved?"	18	""
"Add1"	"Add1"	"unknown"	""	"What is the first line of the new address, please include the house number or name, and the name of the street or road?"	19	""
"Add2"	"Add2"	"unknown"	""	"What is the second line of the new address?"	20	""
"Add3"	"Add3"	"unknown"	""	"If Add2 = Response - entered a second line of address"	21	""
"Add4"	"Add4"	"unknown"	""	"If Add3 = Response - entered a third line of address"	22	""
"PstTwn"	"PstTwn"	"unknown"	""	"And in which town is the new address?"	23	""
"PostCd"	"PostCd"	"unknown"	""	"If you know it, what is the postcode for this new address?"	24	""
"SurePstC"	"SurePstC"	"unknown"	""	"CODE FOR CERTAINTY OF CORRECT POSTCODE"	25	""
